name,x,z,base,overlay,blend
grid,496.0000,16.0000,0,0,0
grid,512.0000,16.0000,0,0,0
grid,0.0000,32.0000,0,0,0
grid,16.0000,32.0000,0,0,0
grid,32.0000,32.0000,0,0,0
grid,48.0000,32.0000,0,0,0
grid,64.0000,32.0000,0,0,0
grid,80.0000,32.0000,0,0,0
grid,96.0000,32.0000,0,0,0
grid,112.0000,32.0000,0,0,0
grid,128.0000,32.0000,0,0,0
grid,144.0000,32.0000,0,0,0
grid,160.0000,32.0000,0,0,0
grid,176.0000,32.0000,0,0,0
grid,192.0000,32.0000,0,0,0
grid,208.0000,32.0000,0,0,0
grid,224.0000,32.0000,0,0,0
grid,240.0000,32.0000,0,0,0
grid,256.0000,32.0000,0,0,0
grid,272.0000,32.0000,0,0,0
grid,288.0000,32.0000,0,0,0
grid,304.0000,32.0000,0,0,0
grid,320.0000,32.0000,0,0,0
grid,336.0000,32.0000,0,0,0
grid,352.0000,32.0000,0,0,0
grid,368.0000,32.0000,0,0,0
grid,384.0000,32.0000,0,0,0
grid,400.0000,32.0000,0,0,0
grid,416.0000,32.0000,0,0,0
grid,432.0000,32.0000,0,0,0
grid,448.0000,32.0000,0,0,0
grid,464.0000,32.0000,0,0,0
grid,480.0000,32.0000,0,0,0
grid,496.0000,32.0000,0,0,0
grid,512.0000,32.0000,0,0,0
grid,0.0000,48.0000,0,0,0
grid,16.0000,48.0000,0,0,0
grid,32.0000,48.0000,0,0,0
grid,48.0000,48.0000,0,0,0
grid,64.0000,48.0000,0,0,0
grid,80.0000,48.0000,0,0,0
grid,96.0000,48.0000,0,0,0
grid,112.0000,48.0000,0,0,0
grid,128.0000,48.0000,0,0,0
grid,144.0000,48.0000,0,0,0
grid,160.0000,48.0000,0,0,0
grid,176.0000,48.0000,0,0,0
grid,192.0000,48.0000,0,0,0
grid,208.0000,48.0000,0,0,0
grid,224.0000,48.0000,0,0,0
grid,240.0000,48.0000,0,0,0
grid,256.0000,48.0000,0,0,0
grid,272.0000,48.0000,0,0,0
grid,288.0000,48.0000,0,0,0
grid,304.0000,48.0000,0,0,0
grid,320.0000,48.0000,0,0,0
grid,336.0000,48.0000,0,0,0
grid,352.0000,48.0000,0,0,0
grid,368.0000,48.0000,0,0,0
grid,384.0000,48.0000,0,0,0
grid,400.0000,48.0000,0,0,0
grid,416.0000,48.0000,0,0,0
grid,432.0000,48.0000,0,0,0
grid,448.0000,48.0000,0,0,0
grid,464.0000,48.0000,0,0,0
grid,480.0000,48.0000,0,0,0
grid,496.0000,48.0000,0,0,0
grid,512.0000,48.0000,0,0,0
grid,0.0000,64.0000,0,0,0
grid,16.0000,64.0000,0,0,0
grid,32.0000,64.0000,0,0,0
grid,48.0000,64.0000,0,0,0
grid,64.0000,64.0000,0,0,0
grid,80.0000,64.0000,0,0,0
grid,96.0000,64.0000,0,0,0
grid,112.0000,64.0000,0,0,0
grid,128.0000,64.0000,0,0,0
grid,144.0000,64.0000,0,0,0
grid,160.0000,64.0000,0,0,0
grid,176.0000,64.0000,0,0,0
grid,192.0000,64.0000,0,0,0
grid,208.0000,64.0000,0,0,0
grid,224.0000,64.0000,0,0,0
grid,240.0000,64.0000,0,0,0
grid,256.0000,64.0000,0,0,0
grid,272.0000,64.0000,0,0,0
grid,288.0000,64.0000,0,0,0
grid,304.0000,64.0000,0,0,0
grid,320.0000,64.0000,0,0,0
grid,336.0000,64.0000,0,0,0
grid,352.0000,64.0000,0,0,0
grid,368.0000,64.0000,0,0,0
grid,384.0000,64.0000,0,0,0
grid,400.0000,64.0000,0,0,0
grid,416.0000,64.0000,0,0,0
grid,432.0000,64.0000,0,0,0
grid,448.0000,64.0000,0,0,0
grid,464.0000,64.0000,0,0,0
grid,480.0000,64.0000,0,0,0
grid,496.0000,64.0000,0,0,0
grid,512.0000,64.0000,0,0,0
grid,0.0000,80.0000,0,0,0
grid,16.0000,80.0000,0,0,0
grid,32.0000,80.0000,0,0,0
grid,48.0000,80.0000,0,0,0
grid,64.0000,80.0000,0,0,0
grid,80.0000,80.0000,2,3,0
grid,96.0000,80.0000,2,3,0
grid,112.0000,80.0000,0,0,0
grid,128.0000,80.0000,0,0,0
grid,144.0000,80.0000,0,0,0
grid,160.0000,80.0000,0,0,0
grid,176.0000,80.0000,0,0,0
grid,192.0000,80.0000,0,0,0
grid,208.0000,80.0000,0,0,0
grid,224.0000,80.0000,0,0,0
grid,240.0000,80.0000,0,0,0
grid,256.0000,80.0000,0,0,0
grid,272.0000,80.0000,0,0,0
grid,288.0000,80.0000,0,0,0
grid,304.0000,80.0000,0,0,0
grid,320.0000,80.0000,0,0,0
grid,336.0000,80.0000,6,7,142
grid,352.0000,80.0000,6,7,137
grid,368.0000,80.0000,6,7,96
grid,384.0000,80.0000,6,7,170
grid,400.0000,80.0000,0,0,0
grid,416.0000,80.0000,6,7,151
grid,432.0000,80.0000,6,7,127
grid,448.0000,80.0000,6,7,104
grid,464.0000,80.0000,0,0,0
grid,480.0000,80.0000,0,0,0
grid,496.0000,80.0000,0,0,0
grid,512.0000,80.0000,0,0,0
grid,0.0000,96.0000,0,0,0
grid,16.0000,96.0000,0,0,0
grid,32.0000,96.0000,0,0,0
grid,48.0000,96.0000,0,0,0
grid,64.0000,96.0000,2,3,5
grid,80.0000,96.0000,2,3,158
grid,96.0000,96.0000,2,3,196
grid,112.0000,96.0000,2,3,106
grid,128.0000,96.0000,2,3,129
grid,144.0000,96.0000,2,3,163
grid,160.0000,96.0000,2,3,0
grid,176.0000,96.0000,2,3,0
grid,192.0000,96.0000,0,0,0
grid,208.0000,96.0000,0,0,0
grid,224.0000,96.0000,0,0,0
grid,240.0000,96.0000,0,0,0
grid,256.0000,96.0000,0,0,0
grid,272.0000,96.0000,0,0,0
grid,288.0000,96.0000,0,0,0
grid,304.0000,96.0000,0,0,0
grid,320.0000,96.0000,6,7,189
grid,336.0000,96.0000,6,7,101
grid,352.0000,96.0000,6,7,110
grid,368.0000,96.0000,6,7,183
grid,384.0000,96.0000,6,7,53
grid,400.0000,96.0000,6,7,198
grid,416.0000,96.0000,6,7,85
grid,432.0000,96.0000,6,7,128
grid,448.0000,96.0000,6,7,169
grid,464.0000,96.0000,6,7,58
grid,480.0000,96.0000,0,0,0
grid,496.0000,96.0000,0,0,0
grid,512.0000,96.0000,0,0,0
grid,0.0000,112.0000,0,0,0
grid,16.0000,112.0000,0,0,0
grid,32.0000,112.0000,0,0,0
grid,48.0000,112.0000,0,0,0
grid,64.0000,112.0000,2,3,156
grid,80.0000,112.0000,2,3,146
grid,96.0000,112.0000,2,3,138
grid,112.0000,112.0000,2,3,157
grid,128.0000,112.0000,2,3,152
grid,144.0000,112.0000,2,3,112
grid,160.0000,112.0000,2,3,152
grid,176.0000,112.0000,2,3,157
grid,192.0000,112.0000,2,3,0
grid,208.0000,112.0000,0,0,0
grid,224.0000,112.0000,0,0,0
grid,240.0000,112.0000,0,0,0
grid,256.0000,112.0000,0,0,0
grid,272.0000,112.0000,0,0,0
grid,288.0000,112.0000,0,0,0
grid,304.0000,112.0000,6,7,159
grid,320.0000,112.0000,6,7,102
grid,336.0000,112.0000,6,7,138
grid,352.0000,112.0000,6,7,135
grid,368.0000,112.0000,6,7,105
grid,384.0000,112.0000,6,7,158
grid,400.0000,112.0000,6,7,99
grid,416.0000,112.0000,6,7,145
grid,432.0000,112.0000,6,7,127
grid,448.0000,112.0000,6,7,110
grid,464.0000,112.0000,0,0,0
grid,480.0000,112.0000,0,0,0
grid,496.0000,112.0000,0,0,0
grid,512.0000,112.0000,0,0,0
grid,0.0000,128.0000,0,0,0
grid,16.0000,128.0000,0,0,0
grid,32.0000,128.0000,0,0,0
grid,48.0000,128.0000,0,0,0
grid,64.0000,128.0000,2,3,161
grid,80.0000,128.0000,2,3,138
grid,96.0000,128.0000,2,3,26
grid,112.0000,128.0000,2,3,190
grid,128.0000,128.0000,2,3,159
grid,144.0000,128.0000,2,3,93
grid,160.0000,128.0000,2,3,167
grid,176.0000,128.0000,2,3,190
grid,192.0000,128.0000,2,3,43
grid,208.0000,128.0000,0,0,0
grid,224.0000,128.0000,0,0,0
grid,240.0000,128.0000,0,0,0
grid,256.0000,128.0000,0,0,0
grid,272.0000,128.0000,0,0,0
grid,288.0000,128.0000,0,0,0
grid,304.0000,128.0000,6,7,173
grid,320.0000,128.0000,6,7,91
grid,336.0000,128.0000,6,7,143
grid,352.0000,128.0000,6,7,138
grid,368.0000,128.0000,6,7,94
grid,384.0000,128.0000,6,7,172
grid,400.0000,128.0000,6,7,86
grid,416.0000,128.0000,6,7,153
grid,432.0000,128.0000,6,7,127
grid,448.0000,128.0000,6,7,103
grid,464.0000,128.0000,0,0,0
grid,480.0000,128.0000,0,0,0
grid,496.0000,128.0000,0,0,0
grid,512.0000,128.0000,0,0,0
grid,0.0000,144.0000,0,0,0
grid,16.0000,144.0000,0,0,0
grid,32.0000,144.0000,0,0,0
grid,48.0000,144.0000,0,0,0
grid,64.0000,144.0000,2,3,134
grid,80.0000,144.0000,2,3,150
grid,96.0000,144.0000,2,3,129
grid,112.0000,144.0000,2,3,137
grid,128.0000,144.0000,2,3,143
grid,144.0000,144.0000,2,3,162
grid,160.0000,144.0000,2,3,143
grid,176.0000,144.0000,2,3,137
grid,192.0000,144.0000,2,3,17
grid,208.0000,144.0000,0,0,0
grid,224.0000,144.0000,0,0,0
grid,240.0000,144.0000,0,0,0
grid,256.0000,144.0000,0,0,0
grid,272.0000,144.0000,0,0,0
grid,288.0000,144.0000,0,0,0
grid,304.0000,144.0000,0,0,0
grid,320.0000,144.0000,6,7,189
grid,336.0000,144.0000,6,7,101
grid,352.0000,144.0000,6,7,110
grid,368.0000,144.0000,6,7,182
grid,384.0000,144.0000,6,7,53
grid,400.0000,144.0000,6,7,197
grid,416.0000,144.0000,6,7,86
grid,432.0000,144.0000,6,7,128
grid,448.0000,144.0000,0,0,0
grid,464.0000,144.0000,0,0,0
grid,480.0000,144.0000,0,0,0
grid,496.0000,144.0000,0,0,0
grid,512.0000,144.0000,0,0,0
grid,0.0000,160.0000,0,0,0
grid,16.0000,160.0000,0,0,0
grid,32.0000,160.0000,0,0,0
grid,48.0000,160.0000,0,0,0
grid,64.0000,160.0000,2,3,95
grid,80.0000,160.0000,2,3,157
grid,96.0000,160.0000,2,3,194
grid,112.0000,160.0000,2,3,107
grid,128.0000,160.0000,2,3,130
grid,144.0000,160.0000,2,3,198
grid,160.0000,160.0000,2,3,129
grid,176.0000,160.0000,2,3,0
grid,192.0000,160.0000,0,0,0
grid,208.0000,160.0000,0,0,0
grid,224.0000,160.0000,0,0,0
grid,240.0000,160.0000,0,0,0
grid,256.0000,160.0000,0,0,0
grid,272.0000,160.0000,0,0,0
grid,288.0000,160.0000,0,0,0
grid,304.0000,160.0000,0,0,0
grid,320.0000,160.0000,0,0,0
grid,336.0000,160.0000,0,0,0
grid,352.0000,160.0000,6,7,134
grid,368.0000,160.0000,6,7,107
grid,384.0000,160.0000,6,7,155
grid,400.0000,160.0000,6,7,101
grid,416.0000,160.0000,6,7,143
grid,432.0000,160.0000,6,7,127
grid,448.0000,160.0000,0,0,0
grid,464.0000,160.0000,0,0,0
grid,480.0000,160.0000,0,0,0
grid,496.0000,160.0000,0,0,0
grid,512.0000,160.0000,0,0,0
grid,0.0000,176.0000,0,0,0
grid,16.0000,176.0000,0,0,0
grid,32.0000,176.0000,0,0,0
grid,48.0000,176.0000,0,0,0
grid,64.0000,176.0000,2,3,0
grid,80.0000,176.0000,2,3,145
grid,96.0000,176.0000,2,3,133
grid,112.0000,176.0000,2,3,161
grid,128.0000,176.0000,2,3,154
grid,144.0000,176.0000,2,3,130
grid,160.0000,176.0000,2,3,106
grid,176.0000,176.0000,0,0,0
grid,192.0000,176.0000,0,0,0
grid,208.0000,176.0000,0,0,0
grid,224.0000,176.0000,0,0,0
grid,240.0000,176.0000,0,0,0
grid,256.0000,176.0000,0,0,0
grid,272.0000,176.0000,0,0,0
grid,288.0000,176.0000,0,0,0
grid,304.0000,176.0000,0,0,0
grid,320.0000,176.0000,0,0,0
grid,336.0000,176.0000,0,0,0
grid,352.0000,176.0000,6,7,138
grid,368.0000,176.0000,6,7,93
grid,384.0000,176.0000,6,7,175
grid,400.0000,176.0000,6,7,83
grid,416.0000,176.0000,6,7,154
grid,432.0000,176.0000,0,0,0
grid,448.0000,176.0000,0,0,0
grid,464.0000,176.0000,0,0,0
grid,480.0000,176.0000,0,0,0
grid,496.0000,176.0000,0,0,0
grid,512.0000,176.0000,0,0,0
grid,0.0000,192.0000,0,0,0
grid,16.0000,192.0000,0,0,0
grid,32.0000,192.0000,0,0,0
grid,48.0000,192.0000,0,0,0
grid,64.0000,192.0000,0,0,0
grid,80.0000,192.0000,2,3,0
grid,96.0000,192.0000,2,3,102
grid,112.0000,192.0000,2,3,188
grid,128.0000,192.0000,2,3,166
grid,144.0000,192.0000,2,3,73
grid,160.0000,192.0000,0,0,0
grid,176.0000,192.0000,0,0,0
grid,192.0000,192.0000,0,0,0
grid,208.0000,192.0000,0,0,0
grid,224.0000,192.0000,0,0,0
grid,240.0000,192.0000,0,0,0
grid,256.0000,192.0000,0,0,0
grid,272.0000,192.0000,0,0,0
grid,288.0000,192.0000,0,0,0
grid,304.0000,192.0000,0,0,0
grid,320.0000,192.0000,0,0,0
grid,336.0000,192.0000,0,0,0
grid,352.0000,192.0000,6,7,110
grid,368.0000,192.0000,6,7,182
grid,384.0000,192.0000,6,7,53
grid,400.0000,192.0000,6,7,197
grid,416.0000,192.0000,0,0,0
grid,432.0000,192.0000,0,0,0
grid,448.0000,192.0000,0,0,0
grid,464.0000,192.0000,0,0,0
grid,480.0000,192.0000,0,0,0
grid,496.0000,192.0000,0,0,0
grid,512.0000,192.0000,0,0,0
grid,0.0000,208.0000,0,0,0
grid,16.0000,208.0000,0,0,0
grid,32.0000,208.0000,0,0,0
grid,48.0000,208.0000,0,0,0
grid,64.0000,208.0000,0,0,0
grid,80.0000,208.0000,0,0,0
grid,96.0000,208.0000,0,0,0
grid,112.0000,208.0000,0,0,0
grid,128.0000,208.0000,0,0,0
grid,144.0000,208.0000,0,0,0
grid,160.0000,208.0000,0,0,0
grid,176.0000,208.0000,0,0,0
grid,192.0000,208.0000,0,0,0
grid,208.0000,208.0000,0,0,0
grid,224.0000,208.0000,0,0,0
grid,240.0000,208.0000,0,0,0
grid,256.0000,208.0000,0,0,0
grid,272.0000,208.0000,0,0,0
grid,288.0000,208.0000,0,0,0
grid,304.0000,208.0000,0,0,0
grid,320.0000,208.0000,0,0,0
grid,336.0000,208.0000,0,0,0
grid,352.0000,208.0000,0,0,0
grid,368.0000,208.0000,0,0,0
grid,384.0000,208.0000,0,0,0
grid,400.0000,208.0000,0,0,0
grid,416.0000,208.0000,0,0,0
grid,432.0000,208.0000,0,0,0
grid,448.0000,208.0000,0,0,0
grid,464.0000,208.0000,0,0,0
grid,480.0000,208.0000,0,0,0
grid,496.0000,208.0000,0,0,0
grid,512.0000,208.0000,0,0,0
grid,0.0000,224.0000,0,0,0
grid,16.0000,224.0000,0,0,0
grid,32.0000,224.0000,0,0,0
grid,48.0000,224.0000,0,0,0
grid,64.0000,224.0000,0,0,0
grid,80.0000,224.0000,0,0,0
grid,96.0000,224.0000,0,0,0
grid,112.0000,224.0000,0,0,0
grid,128.0000,224.0000,0,0,0
grid,144.0000,224.0000,0,0,0
grid,160.0000,224.0000,0,0,0
grid,176.0000,224.0000,0,0,0
grid,192.0000,224.0000,0,0,0
grid,208.0000,224.0000,0,0,0
grid,224.0000,224.0000,0,0,0
grid,240.0000,224.0000,0,0,0
grid,256.0000,224.0000,0,0,0
grid,272.0000,224.0000,0,0,0
grid,288.0000,224.0000,0,0,0
grid,304.0000,224.0000,0,0,0
grid,320.0000,224.0000,0,0,0
grid,336.0000,224.0000,0,0,0
grid,352.0000,224.0000,0,0,0
grid,368.0000,224.0000,0,0,0
grid,384.0000,224.0000,0,0,0
grid,400.0000,224.0000,0,0,0
grid,416.0000,224.0000,0,0,0
grid,432.0000,224.0000,0,0,0
grid,448.0000,224.0000,0,0,0
grid,464.0000,224.0000,0,0,0
grid,480.0000,224.0000,0,0,0
grid,496.0000,224.0000,0,0,0
grid,512.0000,224.0000,0,0,0
grid,0.0000,240.0000,0,0,0
grid,16.0000,240.0000,0,0,0
grid,32.0000,240.0000,0,0,0
grid,48.0000,240.0000,0,0,0
grid,64.0000,240.0000,0,0,0
grid,80.0000,240.0000,0,0,0
grid,96.0000,240.0000,0,0,0
grid,112.0000,240.0000,0,0,0
grid,128.0000,240.0000,0,0,0
grid,144.0000,240.0000,0,0,0
grid,160.0000,240.0000,0,0,0
grid,176.0000,240.0000,0,0,0
grid,192.0000,240.0000,0,0,0
grid,208.0000,240.0000,0,0,0
grid,224.0000,240.0000,0,0,0
grid,240.0000,240.0000,0,0,0
grid,256.0000,240.0000,0,0,0
grid,272.0000,240.0000,0,0,0
grid,288.0000,240.0000,0,0,0
grid,304.0000,240.0000,0,0,0
grid,320.0000,240.0000,0,0,0
grid,336.0000,240.0000,0,0,0
grid,352.0000,240.0000,0,0,0
grid,368.0000,240.0000,0,0,0
grid,384.0000,240.0000,0,0,0
grid,400.0000,240.0000,0,0,0
grid,416.0000,240.0000,0,0,0
grid,432.0000,240.0000,0,0,0
grid,448.0000,240.0000,0,0,0
grid,464.0000,240.0000,0,0,0
grid,480.0000,240.0000,0,0,0
grid,496.0000,240.0000,0,0,0
grid,512.0000,240.0000,0,0,0
grid,0.0000,256.0000,0,0,0
grid,16.0000,256.0000,0,0,0
grid,32.0000,256.0000,0,0,0
grid,48.0000,256.0000,0,0,0
grid,64.0000,256.0000,0,0,0
grid,80.0000,256.0000,0,0,0
grid,96.0000,256.0000,0,0,0
grid,112.0000,256.0000,0,0,0
grid,128.0000,256.0000,0,0,0
grid,144.0000,256.0000,0,0,0
grid,160.0000,256.0000,0,0,0
grid,176.0000,256.0000,0,0,0
grid,192.0000,256.0000,0,0,0
grid,208.0000,256.0000,0,0,0
grid,224.0000,256.0000,0,0,0
grid,240.0000,256.0000,0,0,0
grid,256.0000,256.0000,0,0,0
grid,272.0000,256.0000,0,0,0
grid,288.0000,256.0000,0,0,0
grid,304.0000,256.0000,0,0,0
grid,320.0000,256.0000,0,0,0
grid,336.0000,256.0000,0,0,0
grid,352.0000,256.0000,0,0,0
grid,368.0000,256.0000,0,0,0
grid,384.0000,256.0000,0,0,0
grid,400.0000,256.0000,0,0,0
grid,416.0000,256.0000,0,0,0
grid,432.0000,256.0000,0,0,0
grid,448.0000,256.0000,0,0,0
grid,464.0000,256.0000,0,0,0
grid,480.0000,256.0000,0,0,0
grid,496.0000,256.0000,0,0,0
grid,512.0000,256.0000,0,0,0
grid,0.0000,272.0000,0,0,0
grid,16.0000,272.0000,0,0,0
grid,32.0000,272.0000,0,0,0
grid,48.0000,272.0000,0,0,0
grid,64.0000,272.0000,0,0,0
grid,80.0000,272.0000,0,0,0
grid,96.0000,272.0000,0,0,0
grid,112.0000,272.0000,0,0,0
grid,128.0000,272.0000,0,0,0
grid,144.0000,272.0000,0,0,0
grid,160.0000,272.0000,0,0,0
grid,176.0000,272.0000,0,0,0
grid,192.0000,272.0000,0,0,0
grid,208.0000,272.0000,0,0,0
grid,224.0000,272.0000,0,0,0
grid,240.0000,272.0000,0,0,0
grid,256.0000,272.0000,0,0,0
grid,272.0000,272.0000,0,0,0
grid,288.0000,272.0000,0,0,0
grid,304.0000,272.0000,0,0,0
grid,320.0000,272.0000,0,0,0
grid,336.0000,272.0000,0,0,0
grid,352.0000,272.0000,0,0,0
grid,368.0000,272.0000,0,0,0
grid,384.0000,272.0000,0,0,0
grid,400.0000,272.0000,0,0,0
grid,416.0000,272.0000,0,0,0
grid,432.0000,272.0000,0,0,0
grid,448.0000,272.0000,0,0,0
grid,464.0000,272.0000,0,0,0
grid,480.0000,272.0000,0,0,0
grid,496.0000,272.0000,0,0,0
grid,512.0000,272.0000,0,0,0
grid,0.0000,288.0000,0,0,0
grid,16.0000,288.0000,0,0,0
grid,32.0000,288.0000,0,0,0
grid,48.0000,288.0000,0,0,0
grid,64.0000,288.0000,0,0,0
grid,80.0000,288.0000,0,0,0
grid,96.0000,288.0000,0,0,0
grid,112.0000,288.0000,0,0,0
grid,128.0000,288.0000,0,0,0
grid,144.0000,288.0000,0,0,0
grid,160.0000,288.0000,0,0,0
grid,176.0000,288.0000,0,0,0
grid,192.0000,288.0000,0,0,0
grid,208.0000,288.0000,0,0,0
grid,224.0000,288.0000,0,0,0
grid,240.0000,288.0000,0,0,0
grid,256.0000,288.0000,0,0,0
grid,272.0000,288.0000,0,0,0
grid,288.0000,288.0000,0,0,0
grid,304.0000,288.0000,0,0,0
grid,320.0000,288.0000,0,0,0
grid,336.0000,288.0000,0,0,0
grid,352.0000,288.0000,0,0,0
grid,368.0000,288.0000,0,0,0
grid,384.0000,288.0000,0,0,0
grid,400.0000,288.0000,0,0,0
grid,416.0000,288.0000,0,0,0
grid,432.0000,288.0000,0,0,0
grid,448.0000,288.0000,0,0,0
grid,464.0000,288.0000,0,0,0
grid,480.0000,288.0000,0,0,0
grid,496.0000,288.0000,0,0,0
grid,512.0000,288.0000,0,0,0
grid,0.0000,304.0000,0,0,0
grid,16.0000,304.0000,0,0,0
grid,32.0000,304.0000,0,0,0
grid,48.0000,304.0000,0,0,0
grid,64.0000,304.0000,0,0,0
grid,80.0000,304.0000,0,0,0
grid,96.0000,304.0000,0,0,0
grid,112.0000,304.0000,0,0,0
grid,128.0000,304.0000,0,0,0
grid,144.0000,304.0000,0,0,0
grid,160.0000,304.0000,0,0,0
grid,176.0000,304.0000,0,0,0
grid,192.0000,304.0000,0,0,0
grid,208.0000,304.0000,0,0,0
grid,224.0000,304.0000,0,0,0
grid,240.0000,304.0000,0,0,0
grid,256.0000,304.0000,0,0,0
grid,272.0000,304.0000,0,0,0
grid,288.0000,304.0000,0,0,0
grid,304.0000,304.0000,0,0,0
grid,320.0000,304.0000,0,0,0
grid,336.0000,304.0000,0,0,0
grid,352.0000,304.0000,0,0,0
grid,368.0000,304.0000,4,5,88
grid,384.0000,304.0000,4,5,52
grid,400.0000,304.0000,0,0,0
grid,416.0000,304.0000,0,0,0
grid,432.0000,304.0000,0,0,0
grid,448.0000,304.0000,0,0,0
grid,464.0000,304.0000,0,0,0
grid,480.0000,304.0000,0,0,0
grid,496.0000,304.0000,0,0,0
grid,512.0000,304.0000,0,0,0
grid,0.0000,320.0000,0,0,0
grid,16.0000,320.0000,0,0,0
grid,32.0000,320.0000,0,0,0
grid,48.0000,320.0000,0,0,0
grid,64.0000,320.0000,0,0,0
grid,80.0000,320.0000,0,0,0
grid,96.0000,320.0000,0,0,0
grid,112.0000,320.0000,0,1,0
grid,128.0000,320.0000,0,1,0
grid,144.0000,320.0000,0,0,0
grid,160.0000,320.0000,0,0,0
grid,176.0000,320.0000,0,0,0
grid,192.0000,320.0000,0,0,0
grid,208.0000,320.0000,0,0,0
grid,224.0000,320.0000,0,0,0
grid,240.0000,320.0000,0,0,0
grid,256.0000,320.0000,0,0,0
grid,272.0000,320.0000,0,0,0
grid,288.0000,320.0000,0,0,0
grid,304.0000,320.0000,0,0,0
grid,320.0000,320.0000,0,0,0
grid,336.0000,320.0000,0,0,0
grid,352.0000,320.0000,0,0,0
grid,368.0000,320.0000,4,5,71
grid,384.0000,320.0000,4,5,32
grid,400.0000,320.0000,4,5,23
grid,416.0000,320.0000,4,5,57
grid,432.0000,320.0000,0,0,0
grid,448.0000,320.0000,0,0,0
grid,464.0000,320.0000,0,0,0
grid,480.0000,320.0000,0,0,0
grid,496.0000,320.0000,0,0,0
grid,512.0000,320.0000,0,0,0
grid,0.0000,336.0000,0,0,0
grid,16.0000,336.0000,0,0,0
grid,32.0000,336.0000,0,0,0
grid,48.0000,336.0000,0,0,0
grid,64.0000,336.0000,0,0,0
grid,80.0000,336.0000,0,0,0
grid,96.0000,336.0000,0,1,0
grid,112.0000,336.0000,0,1,255
grid,128.0000,336.0000,0,1,255
grid,144.0000,336.0000,0,1,0
grid,160.0000,336.0000,0,0,0
grid,176.0000,336.0000,0,0,0
grid,192.0000,336.0000,0,0,0
